Country,Edition,Status,A1,A2,A3,A4,A5,A,B1,B2,B3,B4,B5,B6,B7,B8,B,C1,C2,C3,C4,C5,C6,C7,C8,C,Total
Angola,2023,PF,2,1,5,3,1,12,6,3,4,3,2,2,3,5,28,2,1,3,3,2,3,3,2,19,59
Argentina,2023,F,5,2,6,4,2,19,5,3,3,3,3,2,3,6,28,4,2,5,2,3,4,4,2,26,73
Armenia,2023,F,5,2,5,5,2,19,5,3,3,3,2,3,3,6,28,3,3,4,3,2,5,4,1,25,72
Australia,2023,F,6,2,6,5,4,23,5,2,2,3,3,3,4,6,28,5,2,5,2,2,3,5,1,25,76
Azerbaijan,2023,NF,5,1,3,2,0,11,3,2,1,2,1,0,2,4,15,1,2,1,3,1,1,2,0,11,37
Bahrain,2023,NF,6,2,4,3,0,15,1,0,0,0,0,1,1,3,6,0,0,2,1,1,0,2,1,7,28
Bangladesh,2023,PF,3,1,3,4,1,12,3,2,1,1,2,2,3,4,18,2,0,2,2,1,2,1,1,11,41
Belarus,2023,NF,5,3,4,1,0,13,1,1,0,1,1,0,1,2,7,1,0,0,1,1,0,1,1,5,25
Brazil,2023,PF,5,1,6,5,3,20,4,2,2,3,1,2,3,6,23,4,2,3,2,3,4,1,2,21,64
Cambodia,2023,PF,4,1,4,4,0,13,4,1,1,1,2,2,2,4,17,1,1,2,3,2,1,2,2,14,44
Canada,2023,F,6,2,6,5,4,23,5,3,4,4,4,3,4,6,33,5,2,6,4,4,4,5,2,32,88
China,2023,NF,5,1,1,0,0,7,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,9
Colombia,2023,PF,5,2,6,4,2,19,5,2,3,3,2,2,3,5,25,4,2,5,3,2,3,1,1,21,65
Costa Rica,2023,F,5,2,6,4,4,21,6,4,4,3,3,3,4,6,33,6,3,5,3,5,5,3,1,31,85
Cuba,2023,NF,2,0,2,0,0,4,2,1,0,1,1,0,1,3,9,0,0,2,1,1,0,2,1,7,20
Ecuador,2023,PF,5,1,6,4,2,18,5,2,2,3,2,2,3,5,24,3,2,5,3,2,4,2,1,22,64
Egypt,2023,NF,4,2,4,3,1,14,1,1,1,1,1,0,2,2,9,0,0,0,1,1,0,1,2,5,28
Estonia,2023,F,6,3,6,6,4,25,4,3,4,4,3,3,4,6,31,6,3,6,4,6,4,5,3,37,93
Ethiopia,2023,NF,1,1,1,1,1,5,2,2,0,1,1,1,2,2,11,1,0,2,2,1,1,1,2,10,26
France,2023,F,6,3,6,4,4,23,4,2,3,4,3,3,4,6,29,5,2,5,2,2,3,3,2,24,76
Georgia,2023,F,5,2,6,4,2,19,5,4,3,4,2,2,3,6,29,3,3,5,3,3,4,4,3,28,76
Germany,2023,F,6,3,6,5,3,23,4,2,3,4,3,2,4,6,28,5,2,5,3,2,3,4,2,26,77
Ghana,2023,PF,4,1,5,4,1,15,6,3,2,3,2,3,3,5,27,4,2,3,2,3,3,3,3,23,65
Hungary,2023,PF,6,3,6,4,2,21,4,2,3,3,2,1,3,6,24,4,2,5,2,2,4,4,1,24,69
Iceland,2023,F,6,3,6,6,4,25,5,4,4,4,4,3,4,6,34,6,3,6,4,6,4,5,1,35,94
India,2023,PF,3,2,2,4,2,13,3,1,2,3,2,2,3,4,20,4,2,2,2,1,2,2,2,17,50
Indonesia,2023,PF,3,1,4,4,2,14,2,2,1,2,2,1,3,4,17,2,1,2,3,2,3,2,1,16,47
Iran,2023,NF,5,1,0,0,0,6,0,0,0,1,0,0,1,2,4,0,0,0,1,0,0,0,0,1,11
Iraq,2023,PF,3,1,3,3,1,11,5,1,1,1,1,2,2,4,17,2,1,2,3,3,3,0,1,15,43
Italy,2023,F,5,2,6,5,3,21,4,3,3,3,3,3,4,6,29,4,2,5,3,3,3,3,2,25,75
Japan,2023,F,6,3,6,5,2,22,6,3,3,3,2,2,4,6,29,5,2,5,3,2,3,4,2,26,77
Jordan,2023,PF,5,1,3,3,1,13,3,1,1,2,2,1,3,4,17,2,1,3,2,2,2,3,2,17,47
Kazakhstan,2023,NF,5,2,3,2,0,12,2,1,1,1,1,1,2,3,12,1,0,2,1,2,2,2,0,10,34
Kenya,2023,PF,3,1,6,4,2,16,6,2,3,3,2,2,3,6,27,4,2,4,3,2,4,3,1,23,66
Kyrgyzstan,2023,PF,5,2,5,3,1,16,3,2,1,2,2,2,3,5,20,2,2,2,2,2,2,3,1,16,52
Lebanon,2023,PF,3,0,4,1,1,9,4,2,2,2,2,2,3,5,22,2,2,3,3,3,2,2,2,19,50
Libya,2023,PF,2,1,3,1,0,7,6,3,2,1,1,3,2,3,21,1,1,2,2,2,3,1,2,14,42
Malawi,2023,PF,1,1,5,3,1,11,6,3,3,3,2,1,2,5,25,3,1,4,3,4,2,4,3,24,60
Malaysia,2023,PF,6,3,5,4,1,19,4,2,2,2,2,2,3,5,22,2,1,3,3,2,4,3,2,20,61
Mexico,2023,PF,5,1,6,4,2,18,6,2,3,2,1,2,3,6,25,3,2,4,4,1,4,0,1,19,62
Morocco,2023,PF,5,2,5,4,1,17,6,2,2,2,2,1,2,4,21,2,1,2,3,1,2,3,1,15,53
Myanmar,2023,NF,2,0,0,0,0,2,0,1,0,1,1,0,1,1,5,0,0,0,1,1,0,0,1,3,10
Nicaragua,2023,PF,3,0,5,3,0,11,6,1,1,1,1,1,2,3,16,1,1,1,4,2,3,2,1,15,42
Nigeria,2023,PF,3,1,6,5,2,17,4,3,2,3,2,3,3,5,25,3,1,2,2,3,3,2,2,18,60
Pakistan,2023,NF,1,0,1,3,0,5,1,1,1,1,2,2,2,3,13,2,0,1,1,1,1,1,1,8,26
Philippines,2023,PF,4,1,5,4,2,16,4,3,3,2,1,1,3,6,23,3,2,3,3,3,4,2,2,22,61
Russia,2023,NF,5,2,2,1,0,10,1,0,0,1,0,0,1,2,5,1,0,1,1,1,1,1,0,6,21
Rwanda,2023,NF,3,1,5,3,1,13,3,2,1,0,1,1,1,2,11,1,1,2,3,1,2,1,2,13,37
Saudi Arabia,2023,NF,6,2,4,1,0,13,1,1,1,0,0,0,1,3,7,0,0,0,1,0,1,1,2,5,25
Serbia,2023,F,6,2,6,4,4,22,5,3,3,2,1,2,3,5,24,4,3,5,3,3,3,3,1,25,71
Singapore,2023,PF,6,3,5,4,1,19,4,1,1,2,2,1,3,3,17,1,2,3,2,2,3,3,2,18,54
South Africa,2023,F,4,1,6,4,2,17,6,3,3,3,3,2,3,6,29,5,2,5,3,2,3,4,3,27,73
South Korea,2023,PF,6,3,6,5,2,22,3,2,2,3,2,3,3,6,24,3,2,3,3,2,3,3,2,21,67
Sri Lanka,2023,PF,3,1,5,3,0,12,4,3,2,2,2,2,3,4,22,2,1,3,2,2,3,3,2,18,52
Sudan,2023,NF,1,0,1,3,0,5,5,2,2,1,0,0,2,3,15,0,1,3,3,1,0,1,1,10,30
Taiwan,2023,F,6,3,6,5,4,24,5,3,3,3,2,3,4,6,29,5,2,4,3,3,3,4,1,25,78
Thailand,2023,NF,5,2,5,4,0,16,3,1,1,1,1,2,2,3,14,1,0,0,2,1,1,2,2,9,39
The Gambia,2023,PF,2,1,5,4,1,13,6,2,2,3,2,2,3,4,24,3,1,4,2,2,1,4,2,19,56
Tunisia,2023,PF,4,2,5,3,2,16,6,2,3,2,3,3,3,4,26,2,1,2,3,2,3,3,1,17,59
Turkey,2023,NF,4,1,3,3,1,12,1,0,1,1,1,1,2,3,10,1,1,1,1,1,0,2,1,8,30
Uganda,2023,PF,1,1,5,5,1,13,4,2,2,2,2,1,3,4,20,2,1,3,2,2,3,3,2,18,51
Ukraine,2023,PF,4,2,4,5,3,18,3,2,2,3,2,2,3,5,22,3,2,3,3,3,3,1,1,19,59
United Arab Emirates,2023,NF,6,2,4,2,0,14,1,1,1,0,1,1,1,3,9,0,0,2,1,0,0,2,2,7,30
United Kingdom,2023,F,6,3,6,5,4,24,4,3,3,3,4,3,4,6,30,5,2,5,2,2,3,4,2,25,79
United States,2023,F,6,2,6,4,3,21,6,3,4,3,2,3,3,6,30,6,2,4,3,2,4,3,1,25,76
Uzbekistan,2023,NF,4,1,2,1,0,8,3,1,0,1,2,0,2,2,11,0,1,1,1,1,0,1,1,6,25
Venezuela,2023,NF,2,0,4,1,0,7,2,1,0,1,1,1,1,4,11,1,0,2,2,2,2,2,0,11,29
Vietnam,2023,NF,4,2,4,2,0,12,2,0,0,1,0,0,1,2,6,0,0,0,1,1,0,1,1,4,22
Zambia,2023,PF,2,1,5,5,2,15,6,2,3,2,2,2,3,4,24,2,1,3,3,3,2,3,3,20,59
Zimbabwe,2023,PF,2,0,5,3,0,10,6,3,2,2,2,1,3,4,23,2,1,3,3,2,2,3,2,18,51
